Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation,,,,,,
2.76E+17,RT @BongEliab: Official Announcement: classes are suspended in tertiary level of Ateneo de Davao University today Dec 4 #walangpasok,NGOs,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Rain and wind never stops here in Bohol since pa kaninang madaling araw. #PabloPH,Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @flyPAL: Typhoon Pablo cancels PAL, AirPhil Express flights | http://t.co/w6kCXwKS #PALnews @airphilexpress",Business,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,@USLS_tweets: Official statement regarding clas suspension in college (USLS) will b released no later thn 12:00NN today. Stay tune. #PabloPH,Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @tinyshelcy: It's raining hard here in CEBU! Let's be safe everyone! #PabloPH vs. #Prayer,Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @OAPlanet: Super Typhoon Bopha to Hit the Philippines http://t.co/RkM6oSCX,Media,Caution and advice,Related and informative,Police,Typhoon,eeeqeeeee,,,,,,
2.76E+17,#PabloPh may pasok ba ang PUBLIC school sa DAVAO City,Outsiders,Not applicable,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"yung maaga kang nagising, masarap tulog mo, and ready ka na, naka uniform etc at paalis na tpos biglang #walangpasok ! &gt;.&lt; at &amp; :D",Not applicable,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,I may be joking around about #Pablo but seriously #keepsafe everyone and #Pray. :|,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,Bagyong Pablo hits Visayas and Mindanao. Please help us pray for our safety. #Pabloph,Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @falcon_princess: Kakagising ko lang. Mtulog na ako ulit. Heeee :)))) #walangpasok,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,"#PabloPH, Evacuees @ SOuth 1 Central School in Tubod, #Iligan getting wet inside the gym. Requesting the principal to open the classrooms",Eyewitness,Affected individuals,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @bjaedomingo: Marami pa rin ang nanindigan sa pagka good student nila. Good! #Pablo,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @breakingstorm: No immediate reports of casualties, serious damage after Typhoon Bopha makes landfall in Philippines - @AFP http://t. ...",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @dost_pagasa: At 8:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley or @ 80km SouthEast of... htt ...",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Strong winds here at the south. Continuous rainfall since last night. #TyphoonPablo,Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Beastly super typhoon Bopha bears down on Philippines http://t.co/ijsJnNFl,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,It's beggining to feel a lot like.christmas because of typhoon pablo! Keep safe y'all. http://t.co/jS5aZFMP,Outsiders,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @Karen_DaviLa: @dost_pagasa LIVE on Headstart: Typhoon Pablo makes landfall in Davao Oriental, Signal #3 declared in 16 areas.",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @dost_pagasa: At 8:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley or @ 80km SouthEast of... htt ...",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"Lord, 'wag Niyo pong pababayaan ung mga tao sa Vis/Min. #PabloPH :(",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @breakingstorm: No immediate reports of casualties, serious damage after Typhoon Bopha makes landfall in Philippines - @AFP http://t. ...",Media,Affected individuals,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"via @chematierra: AVISO: Súper Tifón #Bopha golpea con furia #Mindanao #Filipinas Huracán Cat5, el más poderoso en tierra desde Megi 2010 h",Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.76E+17,Ah yess the 'calvario' is here... #PabloPH,Not applicable,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @chantanide: University Of Mindanao (Matina Campus) declared suspension of classes. Please disseminate. Thank you! #PabloPH,Eyewitness,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,@wwe #RAW will be 25 mins from now.... #Preparations for tonight.. I'm still on Super Typhoon #Bopha situation - as Michael,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,"XU-CSG Update: Power is out in Iponan area. Source: Marilyn Baldado, resident of Iponan #PabloPH",Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"its raining again here at #bukidnon , typhoon #pabloph...classes suspended today :(",Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,I wonder kung gaano na kataas ang waves ng #Dahican beach at #Mati #DavaoOriental #PabloPH #PrayForMindanao,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @gmanews: BACOLOD CITY: No classes in all levels accdg to Mayor Jude Thaddy Sayson #walangpasok | via @USLS_tweets,Media,Not applicable,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,@AngPilyongAstig Hahaha . Signal # 2 mi dri oyy . Muhunung niya mukusug . Lami pa gyod kaayo e laag KJ lng kay ning #PabloPH xD,Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"Stay Safe Guys &amp; Keep Praying, Lord God will save us from this Typhoon Pablo :)",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,grabe lakas naman ng hangin may kasabay pang malakas ulan #PabloPH,Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,At least 128 flights canceled due to typhoon #PabloPH #NewsYouCanUse,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Centrio announces NOT OPEN for business TODAY due to #PabloPH. #CDO,Business,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @rdr821: @JemFerrer @Mownana @tasha_eff @teckerz Ms @gretchenho typhoon pablo is hitting Cagayan de Oro City. Please help us pray. RT ...,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @PattyB00: This morning's prayer is for our brothers and sisters in the Visayas and Mindanao areas. Lord, please take over! #PabloPh",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @quinoneshannah: Weather Advisory: Pablo could be be the strongest typhoon in Mindanao's history.,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @HumanityRoad: Super Typhoon #BophaFive Day Forecast Maphttp://t.co/rPcNy3Lv #hmrd",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Ang lamig. Penge kayakap? :D #PabloPH lumayas kana!,Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @nongo13: #FrasesMemorables pss pss muchacho'  #Pablo,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,we dont have classes this day due to typhoon Pablo. whooaaahh!,Eyewitness,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,No jodas #Pablo no jodas!!,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,"[VIDEO] #FOI, #RHbill, #PabloPH and more: The most important stories only on the Rappler Newscast, December 3, 2012 http://t.co/B4X8sB2M",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,Its very windy outside. Typhoon pablo go away please !!!asap http://t.co/yGHrxvf0,Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @LiveScience: Super Typhoon Bopha to Hit the Philippines http://t.co/qDbvEPZM,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT: CARAGA UPDATE #PabloPH: evacuees as of 6:00am - surigao sur 9,713 fam; surigao norte 3,342: agusan sur 43; agusan norte 5; dinagat 101",Media,Affected individuals,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"its a little cold outside today, and i was too scared to go outside, 'cause typhoon pablo is heading my way, i'm dead, so greyson goodbye",Eyewitness,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,rain drops is now falling on the roof top #PabloPH Signal No. 3,Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @primyck: Forced evacuation has begun in CDO http://t.co/9ZIvqW3Q #PabloPH,Eyewitness,Affected individuals,Related and informative,Firefighter/Police,Typhoon,USAR/TCSU,,,,,,
2.76E+17,"actually, for collegiate level, it's the universities' discretion. it wasn't really an order. haha #pablo",Eyewitness,Infrastructure and utilities,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @loyoung: Please pray for the areas that are getting affected by typhoon Pablo. #staysafe,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @USLS_tweets: Classes in the entire university (IS,COLLEGE,GRAD SCH) are suspended due to #PabloPH. No office work as well. Keep safe ...",NGOs,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @CebuPacificAir: Hi everyJuan! For our most updated list of cancelled flights due to Typhoon Pablo, please refer to our latest uplo h ...",Business,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"bumagyo lang, end of the world kaagad? oa lang teh? #PabloPH",Outsiders,Other Useful Information,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @ABSCBNNews: A resident of Tibasak, Macasandig in CDO being prompted to evacuate. http://t.co/ATgvcrdH |via @PrimyCk #PabloPH",Media,Affected individuals,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,And the light just went off! #brownout #PabloPH,Eyewitness,Caution and advice,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @KwentoSaPagong: PRAY FOR THE PHILIPPINES. #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,Typhoon Pablo http://t.co/zd3Y6wAj,Media,Other Useful Information,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,Lets pray for everyone's safety :) #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @loyoung: Please pray for the areas that are getting affected by typhoon Pablo. #staysafe,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @YouScoopGMA: #PabloPH hits Carmen, Davao del Norte: http://t.co/QZN9qZYP. Christmas displays fell due to strong winds.",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @LyzaVenice: Keep safe. #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,o #pablo comeu tanto que falo que amanha só vai ir na aula no 2° período! O.o laspkoakspaksokapks,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,dumidilim na sa Manila :( #PabloPh,Eyewitness,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,Dark skies. Swaying trees. Super strong wind. #PabloPH,Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @TrishaChance: @greysonchance Please pray for Davao Enchancers here in Philippines. #Typhoon,Outsiders,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,It's going be a rainy week for Davao. #PabloPH http://t.co/XnObb62J,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"Intense rains and thunderstorms in malaybalay, bukidnon as #PabloPH nears. No power in area. @cebudailynews",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @iamMissKristine: Total blackout all over Zamboanga Peninsula #PabloPh,Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,I just hope this will all be over soon. #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,Wind is howling...eerie..scary! A billboard fell here in cdo (near mindanao glassware). Accdg to magnum news. #PabloPH,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ANCALERTS: Now on ANC: PAGASA press briefing on Typhoon Pablo #PabloPH,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @iamsuperbianca: stay safe, visayas and mindanao! please always listen to updates from pag-asa and ndrrmc! #PabloPH",Outsiders,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Category no 5 #PabloPH lakas hangin dito sa cebu @ninofranco928,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @KriselGonzaga: Praying for the safety of everyone in Visayas and Mindanao. Godbless us all #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @News5AKSYON: #Pablo Update (11am): Signal No. 2 - Luzon: Northern Palawan incl. Calamian Grp. Of Islands and Cuyo Is.,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @ABSCBNNews: PAGASA: Noong tumama si #PabloPH, kumalat ang kanyang mga ulap. Noong tumama siya sa lupa, nag-start na siyang mag-weaken.",Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @DonyaAngelica: sa lahat ng Alipin ko sa  Visayas and Mindanao , Keep Safe! #PabloPH",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,May bagyo #PabloPH let's all keep safe!,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,#PABLOPH Grabe ka.. Visayas talaga ha!,Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @RuFFaTinG: @AbbyAsistio Ate Abby, we need your prayers. Everyone here in CDO is starting to panic coz of Typhoon Pablo. Please pleas ...",Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Pablo chill lang naman :) #PabloPh,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @solartvnews: Over 100 flights canceled, 3,000 passengers stranded in ports due to bad weather from Typhoon #PabloPH. #SolarDayBreakH ...",Media,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Erratum: SM #CDO is OPEN today. #PabloPH,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,"@Typhoon2k: View today's SPECIAL MORNING COVERAGE VIDEOBLOG on TYPHOON BOPHA (PABLO) [Dec. 04, 2012] at the (cont) http://t.co/1EtFzT8g",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,malakas ka ba #PabloPH ??,Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ABSCBNNews: #PabloPH weakens; storm warnings in 46 areas http://t.co/dCrXE5xc,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Now it's raining pretty damn hard #PabloPH,Eyewitness,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @BBCBreaking: Typhoon Bopha hits south Philippines - 40,000 people believed to have been evacuated from their homes. Details soon htt ...",Media,Affected individuals,Related and informative,Firefighter/Police,Typhoon,Dispatch/USAR,,,,,,
2.76E+17,"@glendamgloria: RT @rapplerdotcom: #PabloPH: Flooding, landslides in Lanao del Sur http://t.co/HypGSfG3",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Lapu-Lapu power co staff cuts off tree branches near electric lines ahead of typhoon #PabloPH landfall in Ce http://t.co/lUoUcD8U,NGOs,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @gmanews: Typhoon #PabloPH slams southern PHL, destroys homes, one dead http://t.co/7z953bqO",Media,Infrastructure and utilities,Related and informative,EMS/Firefighter/Police,Typhoon,MMU/USAR/Dispatch,,,,,,
2.76E+17,Loading up on caffeine so i'll be awake tonyt when the worse of the #storm #PabloPH comes. No #flood pls,Eyewitness,Affected individuals,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"#manila #flights Typhoon Bopha slams Philippines south, destroys homes, one dead: MANILA (Reuters) - Typhoon Bop...  http://t.co/0OIlCfue",Media,Affected individuals,Related and informative,EMS/Firefighter/Police,Typhoon,MMU/USAR/Dispatch,,,,,,
2.76E+17,"Philippines hit by Typhoon Bopha: More than 40,000 people are moved into shelter as a powerful typhoon hits the southern Philippines,...",Media,Affected individuals,Related and informative,Police,Typhoon,TCSU,,,,,,
2.76E+17,"Bought a dynamo flashlight, and a lighter, just in case. #PabloPH http://t.co/M4SjdVhN",Eyewitness,Not applicable,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,"Typhoon Bopha slams Philippines south, destroys homes, one dead.",Outsiders,Affected individuals,Related and informative,EMS/Firefighter/Police,Typhoon,MMU/USAR/Dispatch,,,,,,
2.76E+17,"Snuck in some durian at a dvo hotel, turned on the exhaust while eating it so management won't kick us out. Haha! #stranded coz of #PabloPH",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @reuters: Typhoon Bopha slams Philippines south, destroys homes, one dead http://t.co/EEschTTV",Media,Affected individuals,Related and informative,EMS/Firefighter,Typhoon,MMU/USAR/Dispatch,,,,,, 
2.76E+17,"RT @dost_pagasa: At 01:00PM 4/DEC/2012, the eye of Typhoon #PABLO was located @ 40km West of Cagayan De Oro City (8.6°N 124.4°E).",Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,#PabloPH http://t.co/LdJzQfWv,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.76E+17,#pabloPH knocked down the banana trees  @ F. Llamas St http://t.co/mRxQXNmV,Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"As far as I know, I think #PabloPH didn't hit Davao City so hard.",Outsiders,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @leolasty: Pagasa Mactan Director Oscar Tabada says Cebu is experiencing 65 kph winds and moderate rains. #PabloPH,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ABSCBNNews: #PabloPH claims first casualty http://t.co/Q8bgWk2e,Media,Affected individuals,Related and informative,EMS,Typhoon,MMU ,,,,,,
2.76E+17,"Philippines hit by Typhoon Bopha: More than 40,000 people are moved into shelter as a powerful typhoon hits the ... http://t.co/Jf8ndVRk",Media,Affected individuals,Related and informative,Firefighter/Police,Typhoon,Dispatch/USAR,,,,,,
2.76E+17,"RT @AnjelicaBarte: Hope everyone's safe in my home province Misamis Occidental. Friends and family, #keepsafe ! #PabloPH",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,It is starting to rain.. #TyphoonPablo wag naman sanang OA ang pagdaan mo.,Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"RT @BBCBreaking: Typhoon Bopha hits south Philippines - 40,000 people believed to have been evacuated from their homes. Details soon htt ...",Media,Affected individuals,Related and informative,Firefighter/Police,Typhoon,Dispatch/USAR,,,,,,
2.76E+17,RT @GretchenBarreto: Continue praying for our kababayans in the Visayas and Mindanao. God is bigger than calamities. Keep Safe. #PabloPH ...,Media,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,Google provides support in the Philippines with crisis response map for Typhoon Pablo: Google’s Crisis Reponse t... http://t.co/ajeuK70i,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @TheNextWeb: Google provides support in the Philippines with crisis response map for Typhoon Pablo http://t.co/kGHtQmYB by @jonrussell,Media,Donations and volunteering,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ABSCBNNews: RT @leolasty: Pagasa Mactan Director Oscar Tabada says Cebu is experiencing 65 kph winds and moderate rains. #PabloPH (a ...,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516",NGOs,Donations and volunteering,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"Philippines hit by Typhoon Bopha - More than 40,000 people are moved into shelter as a powerful typhoon hits the sou... http://t.co/rHWrvgTk",Media,Affected individuals,Related and informative,Firefighter/Police,Typhoon,Dispatch/USAR,,,,,,
2.76E+17,RT @IamTherese: CDO and Iligan now on the brink of heavy flooding as rivers from Bunawan and Rogongon starts to overflow. #PabloPh,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,VIDEO: Typhoon Bopha hits Philippines: A powerful typhoon has struck the southern Philippines causing flooding a... http://t.co/UFWWet9I,Media,Caution and advice,Related and informative,Firefighter/Police,Typhoon,Dispatch/USAR,,,,,,
2.76E+17,GAMBARAJAH menunjukkan Typhoon Bopha (yang dikenali sebagai Taufan Pablo di Filipina) menuju ke arah barat. Ini... http://t.co/6lKz75gV,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.76E+17,Latest News - Typhoon Bopha lashes The Philippines - The Australian... #news http://t.co/DG9pnTfW,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @inquirerdotnet: #PabloPH expected to pass south of Cebu around 6-8pm--PAGASA's Oscar Tabada during PDRRMC | @dalegisrael @cebudailynews,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ANCALERTS: NDRRMC: No confirmed casualties yet from landslide reported in Compostela Valley. #PabloPH,Media,Caution and advice,Related and informative,Police,Typhoon,Dispatch ,,,,,,
2.76E+17,tumila na rin ang ulan sana tuloy2 na 'to #PabloPH,Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"I hope we can get through this difficult times. Lord, please keep us strong and take care of the ones we love. #PabloPH #pablogoaway",Eyewitness,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,#UGC RT @annaoposa: The rain is getting stronger here in #Malapascua #Cebu and no more electricity. #PabloPH http://t.co/IS53vjc5,Eyewitness,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,#PabloPH if you cash? then Join and Cick ! ! ! http://t.co/NwJM0F6H,Not applicable,Donations and volunteering,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,VIDEO: Typhoon Bopha hits Philippines http://t.co/CdwkJpmm,Media,Other Useful Information,Related and informative,D,Typhoon,Dispatch ,,,,,,
2.76E+17,"PAGASA: At 2PM, eye of Typhoon #PabloPH was located at 70km South of Tagbilaran City or at 95km Southeast of Dumaguete City (8.8°N 124.0°E).",Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,#BBC #world VIDEO: Typhoon Bopha hits Philippines http://t.co/DHyhJlj9,Media,Caution and advice,Related and informative,Police,Typhoon,Dispatch ,,,,,,
2.76E+17,Typhoon #PabloPH is strongest storm to hit Mindanao in two decades http://t.co/UlMFe5aZ,Outsiders,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,God bless those who are affected by typhoon pablo. #keepsafe,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @PIACentralViz: DUMAGUETE: Dumaguete CDRRMC activated the following hotlines: 4222511 and 2263483 #PabloPH,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,typhoon PABLO is now hitting us... classes are suspended :D,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"#PabloPH RT @talktoGLOBE: Globe Telecom experienced a service interruption due to fiber optic cuts in the areas of Davao City, CDO, Bukidnon",Business,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @maxenemagalona: Oh my :( prayers are needed! RT @gmanews: Typhoon #PabloPH is strongest storm to hit Mindanao in two decades http:// ...,Outsiders,Sympathy and support,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Philippines hit by Typhoon Bopha http://t.co/N0NswdHa philippines,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @nababaha: Mandulog River now at 6.01 m and still on the rise. http://t.co/nSnbqQ1w #PabloPH,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ANCALERTS: #PabloPH RT @talktoGLOBE: (1/4) Globe Telecom experienced service interruption due to fiber optic cuts in areas of Davao  ...,Media,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,The is blowing HARDER now. #typhoon,Eyewitness,Affected individuals,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @parengjoserizal: Stay Safe Philippines! #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @bengzhui: northern part of Cebu is gloomy only and no pouring rain yet.. thanks #PabloPH for not dropping by,Eyewitness,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @ANCALERTS: #PabloPH RT @talktoGLOBE: (1/4) Globe Telecom experienced service interruption due to fiber optic cuts in areas of Davao  ...,Media,Infrastructure and utilities,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @suicocess: @kawakawakawawr RT @ANCALERTS: #PabloPH Water level of CDO river (Carmen Bridge station) is rising very fast. http://t.c ...,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @dost_pagasa: 04:0pm: #PabloPH heavy rains is expected to prevail for the next 3hrs overTacloban City &amp; adjacent towns #Leyte...  ...,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,"Pagdasal natin ang mga kababayan natin sa Visayas at Mindanao, nawa'y magakaroon ng himala na mawala na lang ang Bagyong Pablo. #PabloPH",Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.76E+17,RT @dost_pagasa: 04:0pm: #PabloPH heavy rains is expected to prevail for the next 3hrs overTacloban City &amp; adjacent towns #Leyte...  ...,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,NEGOR: OCD said 250 families n coastal areas &amp; along Tanjay River r ready 4 evac 2 Villaflores College in Tanjay #PabloPH,NGOs,Affected individuals,Related and informative,Other,Typhoon,Other,,,,,,
2.76E+17,Oh no. Sana h'wag ma cancel ang flight ng dad q. keep safe everyone !! #pray #PabloPH,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
